 ,Hôm nay,Ngày mai,Ngày kia
TP.HCM,25oC - 33oC,26oC - 30oC,25oC - 31oC
 ,"Có mây, có mưa rào và dông ","Nhiều mây, có mưa vừa","Có mây, có mưa rào "
 
Đà Nẵng,26oC - 31oC,27oC - 29oC,25oC - 31oC
 ,"Có mây, có mưa rào và dông ","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Nha Trang,27oC - 34oC,25oC - 28oC,24oC - 29oC
 ,"Có mây, không mưa","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Hải Phòng,22oC - 33oC,25oC - 29oC,24oC - 29oC
 ,"Có mây, không mưa","Có mây, ngày có mưa rào và dông ","Nhiều mây, có mưa, mưa rào"
 
Điện Biên,23oC - 34oC,25oC - 29oC,23oC - 29oC
 ,"Có mây, không mưa","Nhiều mây, có mưa, mưa rào","Nhiều mây, có mưa, mưa rào"
 
Hà Giang,26oC - 35oC,25oC - 30oC,22oC - 30oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa to","Nhiều mây, có mưa vừa"
 
Hòa Bình,18oC - 29oC,20oC - 29oC,20oC - 27oC
 ,"Có mây, không mưa","Có mây, ngày có mưa rào và dông ","Nhiều mây, có mưa, mưa rào"
 
Lai Châu,24oC - 34oC,26oC - 31oC,23oC - 28oC
 ,"Có mây, không mưa","Có mây, ngày có mưa rào và dông ","Nhiều mây, có mưa, mưa rào"
 
Lào Cai,27oC - 32oC,26oC - 28oC,26oC - 29oC
 ,"Có mây, không mưa","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Quảng Ninh,26oC - 35oC,26oC - 29oC,25oC - 30oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa vừa","Nhiều mây, có mưa vừa"
 
Thái Nguyên,26oC - 35oC,24oC - 29oC,24oC - 28oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa vừa","Nhiều mây, có mưa vừa"
 
Tuyên Quang,26oC - 35oC,25oC - 29oC,25oC - 28oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa vừa","Nhiều mây, có mưa vừa"
 
Vĩnh Phúc,24oC - 34oC,24oC - 29oC,21oC - 28oC
 ,"Có mây, không mưa","Nhiều mây, có mưa vừa","Nhiều mây, có mưa vừa"
 
Yên Bái,24oC - 29oC,24oC - 28oC,24oC - 31oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Cần Thơ,26oC - 33oC,24oC - 28oC,24oC - 29oC
 ,"Có mây, không mưa","Nhiều mây, có mưa to","Nhiều mây, có mưa vừa"
 
Vinh,20oC - 32oC,22oC - 28oC,18oC - 29oC
 ,"Có mây, không mưa","Nhiều mây, có mưa, mưa rào","Nhiều mây, có mưa vừa"
